問,答え
"「べからずコミュニケーション」の項目で（　　）に当てはまる内容を記載してください。

朝礼で「～をしないようにしましょう」等の言葉に代表される「べからずコミュニケーション」は、そこで働く人たちの（　　①　　）を鈍らせるばかりである。
むしろ朝礼で店長がするべきことは、働いている人がもっと（　　②　　）に、もっと（　　③　　）に行動できるようにさまざまな側面から励ましたり、（　　④　　）を促したりして、仕事に対する（　　⑤　　）を高めることです。

（　　①　　）を記載してください。",行動力( 行動）
"「べからずコミュニケーション」の項目で（　　）に当てはまる内容を記載してください。

朝礼で「～をしないようにしましょう」等の言葉に代表される「べからずコミュニケーション」は、そこで働く人たちの（　　①　　）を鈍らせるばかりである。
むしろ朝礼で店長がするべきことは、働いている人がもっと（　　②　　）に、もっと（　　③　　）に行動できるようにさまざまな側面から励ましたり、（　　④　　）を促したりして、仕事に対する（　　⑤　　）を高めることです。

（　　②　　）を記載してください。",積極的or自律的
"「べからずコミュニケーション」の項目で（　　）に当てはまる内容を記載してください。

朝礼で「～をしないようにしましょう」等の言葉に代表される「べからずコミュニケーション」は、そこで働く人たちの（　　①　　）を鈍らせるばかりである。
むしろ朝礼で店長がするべきことは、働いている人がもっと（　　②　　）に、もっと（　　③　　）に行動できるようにさまざまな側面から励ましたり、（　　④　　）を促したりして、仕事に対する（　　⑤　　）を高めることです。

（　　③　　）を記載してください。",積極的or自律的
"「べからずコミュニケーション」の項目で（　　）に当てはまる内容を記載してください。

朝礼で「～をしないようにしましょう」等の言葉に代表される「べからずコミュニケーション」は、そこで働く人たちの（　　①　　）を鈍らせるばかりである。
むしろ朝礼で店長がするべきことは、働いている人がもっと（　　②　　）に、もっと（　　③　　）に行動できるようにさまざまな側面から励ましたり、（　　④　　）を促したりして、仕事に対する（　　⑤　　）を高めることです。

（　　④　　）を記載してください。",情報共有
"「べからずコミュニケーション」の項目で（　　）に当てはまる内容を記載してください。

朝礼で「～をしないようにしましょう」等の言葉に代表される「べからずコミュニケーション」は、そこで働く人たちの（　　①　　）を鈍らせるばかりである。
むしろ朝礼で店長がするべきことは、働いている人がもっと（　　②　　）に、もっと（　　③　　）に行動できるようにさまざまな側面から励ましたり、（　　④　　）を促したりして、仕事に対する（　　⑤　　）を高めることです。

（　　⑤　　）を記載してください。",ﾓﾁﾍﾞｰｼｮﾝ
"「人格」の項目で（　　）に当てはまる内容を記載してください。

人格は「（　　①　　）」「（　　②　　）」「（　　③　　）」の3つの要素から成り立っている。

（　　①　　）を記載してください。",性格
"「人格」の項目で（　　）に当てはまる内容を記載してください。

人格は「（　　①　　）」「（　　②　　）」「（　　③　　）」の3つの要素から成り立っている。

（　　②　　）を記載してください。",考え方
"「人格」の項目で（　　）に当てはまる内容を記載してください。

人格は「（　　①　　）」「（　　②　　）」「（　　③　　）」の3つの要素から成り立っている。

（　　③　　）を記載してください。",習慣
"「マネジャーとは」の項目で （　　）  に当てはまる内容を記載してください。

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。

（　　①　　）を記載してください。",自主性
"「マネジャーとは」の項目で （　　）  に当てはまる内容を記載してください。

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。

（　　②　　）を記載してください。",納得
"「マネジャーとは」の項目で （　　）  に当てはまる内容を記載してください。

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。

（　　③　　）を記載してください。",目的、目標
"「マネジャーとは」の項目で （　　）  に当てはまる内容を記載してください。

ノジマのマネジャーがすべきことは、現場の従業員・リーダー・店長の（　　①　　）を引き出しながら、彼らが（　　②　　）するやり方で組織の（　　③　　）を達成できるように（　　④　　）こと。

（　　④　　）を記載してください。",導いていく
"「エバンジェリスト」の項目で  （　　）  に当てはまる内容を記載してください。

リーダーや店長に選ばれた皆さんの中には、「自分を （　　①　　）  力」が宿っています。
あなたが勇気をもって伝道すれば、この「 （　　①　　）  力」の作用で、今まで以上のスピードで （　　②　　）  していけることでしょう。

（　　①　　）を記載してください。",律する
"「エバンジェリスト」の項目で  （　　）  に当てはまる内容を記載してください。

リーダーや店長に選ばれた皆さんの中には、「自分を （　　①　　）  する力」が宿っています。
あなたが勇気をもって伝道すれば、この「 （　　①　　）  する力」の作用で、今まで以上のスピードで （　　②　　）  していけることでしょう。

（　　②　　）を記載してください。",成長
"「計数」の項目でリーダーが把握すべき3つの計数について
3つのポイントの1つ目を答えてください。",個人の時間当たり受注、対前年比受注、対前年比在庫額（順不同）
"「計数」の項目でリーダーが把握すべき3つの計数について
3つのポイントの2つ目を答えてください。",個人の時間当たり受注、対前年比受注、対前年比在庫額（順不同）
"「計数」の項目でリーダーが把握すべき3つの計数について
3つのポイントの3つ目を答えてください。",個人の時間当たり受注、対前年比受注、対前年比在庫額（順不同）
"「成長できるチャンス」の項目で「部下が大きく成長できる場面」について
3つのポイントの1つ目を答えてください。",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
"「成長できるチャンス」の項目で「部下が大きく成長できる場面」について
3つのポイントの2つ目を答えてください。",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
"「成長できるチャンス」の項目で「部下が大きく成長できる場面」について
3つのポイントの3つ目を答えてください。",部下が自分から意見を言ってきた時、部下が自分の意見に逆らった時、部下が自らの失敗を認め改善に向かう時
"「仕組みは （　　①　　） 、心は （　　②　　）」の項目について、（　　）に当てはまる内容を記載してください。

仕組みは（　　①　　）で作り、心は（　　②　　）に立つ。
これが現場に権限を委譲しつつ、組織の健全性も維持するマネジメントのコツです。

（　　①　　）を記載してください。",性悪説
"「仕組みは （　　①　　） 、心は （　　②　　）」の項目について、（　　）に当てはまる内容を記載してください。

仕組みは（　　①　　）で作り、心は（　　②　　）に立つ。
これが現場に権限を委譲しつつ、組織の健全性も維持するマネジメントのコツです。

（　　②　　）を記載してください。",性善説
"「実行力を高める会議」の項目で、 （　　）  に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は。
（　　①　　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　　②　　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　　③　　）…会議に出席していないメンバーに正確に伝える。

（　　①　　）を記載してください。",議する
"「実行力を高める会議」の項目で、 （　　）  に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は。
（　　①　　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　　②　　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　　③　　）…会議に出席していないメンバーに正確に伝える。

（　　②　　）を記載してください。",決する
"「実行力を高める会議」の項目で、 （　　）  に当てはまる内容を記載してください。

実行力の高い会議にするために、「リーダーが必ずやるべき3つのこと」は。
（　　①　　）…多くのメンバーに意見を出してもらい参加した意識になってもらう。
（　　②　　）…いつまでに誰が何をどのように行うのかアクションプランを決めること。
（　　③　　）…会議に出席していないメンバーに正確に伝える。

（　　③　　）を記載してください。",書する
"「マネジャー5つの行動」に関して

マネジャー5つの行動の1つ目を答えてください",自ら学び、自ら販買する。
"「マネジャー5つの行動」に関して

マネジャー5つの行動の2つ目を答えてください",自ら5Sし、自ら買い場を作る
"「マネジャー5つの行動」に関して

マネジャー5つの行動の3つ目を答えてください",従業員を観察から質問し、育成を行う。
"「マネジャー5つの行動」に関して

マネジャー5つの行動の4つ目を答えてください",個人名で気配りと信賞必罰を行う
"「マネジャー5つの行動」に関して

マネジャー5つの行動の5つ目を答えてください",自らアイデアを出し、自ら他部門を応援する
"「計数」の項目に関して
(　①　)にあてはまる言葉を記載してください。

メンバー1人1人のパフォーマンスを知るための個人の(　①　)、リーダー自身のマネジメントパフォーマンスを知るための(　②　)、買い場の鮮度を知るための(　③　)、まずはこの3つの計数を頭に入れて、ステーションの状況を改善・向上できるるように。",個人の時間当たり受注、時間当たり受注
"「計数」の項目に関して
(　②　)にあてはまる言葉を記載してください。

メンバー1人1人のパフォーマンスを知るための個人の(　①　)、リーダー自身のマネジメントパフォーマンスを知るための(　②　)、買い場の鮮度を知るための(　③　)、まずはこの3つの計数を頭に入れて、ステーションの状況を改善・向上できるるように。","対前年比受注
"
"「計数」の項目に関して
(　③　)にあてはまる言葉を記載してください。

メンバー1人1人のパフォーマンスを知るための個人の(　①　)、リーダー自身のマネジメントパフォーマンスを知るための(　②　)、買い場の鮮度を知るための(　③　)、まずはこの3つの計数を頭に入れて、ステーションの状況を改善・向上できるるように。",対前年比在庫額、対前年比在庫金額
"「五つの動機」に関して
(　①　)にあてはまる言葉を記載してください。

人が動く時には五つの動機があります。まずはお金を表す(　①　)、二番目は動かなければならない(　②　)、三番目に自分の思いや気持ちを熱く伝えるという意味の(　③　)、四番目に(　④　)を感じてもらうような付き合い方が大事です。
これら4つの動機よりさらに人を動かす力が大きいのが(　⑤　)となります。",利、利益
"「五つの動機」に関して
(　②　)にあてはまる言葉を記載してください。

人が動く時には五つの動機があります。まずはお金を表す(　①　)、二番目は動かなければならない(　②　)、三番目に自分の思いや気持ちを熱く伝えるという意味の(　③　)、四番目に(　④　)を感じてもらうような付き合い方が大事です。
これら4つの動機よりさらに人を動かす力が大きいのが(　⑤　)となります。","理、理由
"
"「五つの動機」に関して
(　③　)にあてはまる言葉を記載してください。

人が動く時には五つの動機があります。まずはお金を表す(　①　)、二番目は動かなければならない(　②　)、三番目に自分の思いや気持ちを熱く伝えるという意味の(　③　)、四番目に(　④　)を感じてもらうような付き合い方が大事です。
これら4つの動機よりさらに人を動かす力が大きいのが(　⑤　)となります。","情、情熱
"
"「五つの動機」に関して
(　④　)にあてはまる言葉を記載してください。

人が動く時には五つの動機があります。まずはお金を表す(　①　)、二番目は動かなければならない(　②　)、三番目に自分の思いや気持ちを熱く伝えるという意味の(　③　)、四番目に(　④　)を感じてもらうような付き合い方が大事です。
これら4つの動機よりさらに人を動かす力が大きいのが(　⑤　)となります。","義、義理
"
"「五つの動機」に関して
(　⑤　)にあてはまる言葉を記載してください。

人が動く時には五つの動機があります。まずはお金を表す(　①　)、二番目は動かなければならない(　②　)、三番目に自分の思いや気持ちを熱く伝えるという意味の(　③　)、四番目に(　④　)を感じてもらうような付き合い方が大事です。
これら4つの動機よりさらに人を動かす力が大きいのが(　⑤　)となります。",志
"「ナレッジリーダーシップ」に関して
(　①　)にあてはまる言葉を記載してください。

ナレッジマネジメントを実践する上でマネジャーに求められる働きかけは、暗黙知を4つのプロセスを経て形式知に変えていく事で、「共同化」⇒「(　①　)」⇒「連結化」⇒「(　②　)」がそのプロセスである。①の内容として最も近いのは(　　　　　③　　　　　)という内容である。",表出化
"「ナレッジリーダーシップ」に関して
(　②　)にあてはまる言葉を記載してください。

ナレッジマネジメントを実践する上でマネジャーに求められる働きかけは、暗黙知を4つのプロセスを経て形式知に変えていく事で、「共同化」⇒「(　①　)」⇒「連結化」⇒「(　②　)」がそのプロセスである。①の内容として最も近いのは(　　　　　③　　　　　)という内容である。",内面化
"「ナレッジリーダーシップ」に関して
(　③　)にあてはまる内容を選択してください。

ナレッジマネジメントを実践する上でマネジャーに求められる働きかけは、暗黙知を4つのプロセスを経て形式知に変えていく事で、「共同化」⇒「(　①　)」⇒「連結化」⇒「(　②　)」がそのプロセスである。①の内容として最も近いのは(　　　　　③　　　　　)という内容である。",いつも喜ばれているACと自分の接客の違いを考えて、ヒアリングの流れをシートにまとめた
"教育と育成に関して
(　①　)にあてはまる言葉を記載してください。

教育とは「教えること」に主眼が置かれていますが、育成はヒトを育てて「(　①　)をあげること」に主眼が置かれてます。したがって、教える内容や方法も人によってそれぞれ違ってきます。
その為、例えばB君へは(　　　　②　　　　)といった育成が必要です。",成果
"教育と育成に関して
(　②　)にあてはまる内容を選択してください。

教育とは「教えること」に主眼が置かれていますが、育成はヒトを育てて「(　①　)をあげること」に主眼が置かれてます。したがって、教える内容や方法も人によってそれぞれ違ってきます。
その為、例えばB君へは(　　　　②　　　　)といった育成が必要です。",動かないことで組織に悪い影響が出ることを理解・了解・納得してもらい、活躍できるような体制を整える
「成長できるチャンス」において部下が大きく成長できる場面の1つ目を答えてください,"部下が自分から意見を言ってきた時、部下が上司の意見に逆らった時、部下が自分の失敗を認め改善に向かう時
"
「成長できるチャンス」において部下が大きく成長できる場面の2つ目を答えてください,"部下が自分から意見を言ってきた時、部下が上司の意見に逆らった時、部下が自分の失敗を認め改善に向かう時
"
「成長できるチャンス」において部下が大きく成長できる場面の3つ目を答えてください,"部下が自分から意見を言ってきた時、部下が上司の意見に逆らった時、部下が自分の失敗を認め改善に向かう時
"
